date Time,SecTime,Final_Deg,Final_Rev,Enc_Deg,Enc_Rev,Ref_Deg,Ref_Rev,Doppler_data,RSSI_SUM_Data,RSSI_Delta_Data,Detection,
06-10-17 21:37:28.302,28.302,22.6816,5807,43.6816,5807,360,65535,0,1969,2155,0,
06-10-17 21:37:28.310,28.31,22.6816,5807,43.6816,5807,360,65535,0,1965,2140,0,
06-10-17 21:37:28.318,28.318,22.6816,5807,43.6816,5807,360,65535,0,1965,2140,0,
06-10-17 21:37:28.326,28.326,22.6816,5807,43.6816,5807,360,65535,0,1970,2193,0,
06-10-17 21:37:28.334,28.334,22.6816,5807,43.6816,5807,360,65535,0,1970,2159,0,
06-10-17 21:37:28.342,28.342,22.6816,5807,43.6816,5807,360,65535,0,1969,2159,0,
06-10-17 21:37:28.350,28.35,22.6816,5807,43.6816,5807,360,65535,0,1963,2162,0,
06-10-17 21:37:28.358,28.358,22.6816,5807,43.6816,5807,360,65535,0,1963,2166,0,
06-10-17 21:37:28.366,28.366,22.6816,5807,43.6816,5807,360,65535,0,1981,2166,0,
06-10-17 21:37:28.374,28.374,22.6816,5807,43.6816,5807,360,65535,0,1964,2162,0,
06-10-17 21:37:28.389,28.389,22.6816,5807,43.6816,5807,360,65535,0,1964,2193,0,
06-10-17 21:37:28.390,28.39,22.6816,5807,43.6816,5807,360,65535,0,1972,2193,0,
06-10-17 21:37:28.398,28.398,22.6816,5807,43.6816,5807,360,65535,0,1981,2151,0,
06-10-17 21:37:28.406,28.406,22.6816,5807,43.6816,5807,360,65535,0,1981,2173,0,
06-10-17 21:37:28.414,28.414,22.6816,5807,43.6816,5807,360,65535,0,1961,2173,0,
06-10-17 21:37:28.422,28.422,22.6816,5807,43.6816,5807,360,65535,0,1975,2155,0,
06-10-17 21:37:28.430,28.43,22.6816,5807,43.6816,5807,360,65535,0,1975,2155,0,
06-10-17 21:37:28.438,28.438,22.6816,5807,43.6816,5807,360,65535,0,1987,2156,0,
06-10-17 21:37:28.446,28.446,22.6816,5807,43.6816,5807,360,65535,0,1972,2150,0,
06-10-17 21:37:28.454,28.454,22.6816,5807,43.6816,5807,360,65535,0,1972,2150,0,
06-10-17 21:37:28.462,28.462,22.6816,5807,43.6816,5807,360,65535,0,1984,2152,0,
06-10-17 21:37:28.470,28.47,22.6816,5807,43.6816,5807,360,65535,0,1969,2169,0,
06-10-17 21:37:28.478,28.478,22.6816,5807,43.6816,5807,360,65535,0,1969,2169,0,
